error	sourcefile	lineno	wrong	line
A malformed reading before weeding	AbB-primary	7549	ta/sza	12. la ki a ta/sza li# ki x
A malformed reading before weeding	AbB-primary	7618	5/6(disz)	11. _1(disz) 5/6(disz) gin2 ku3-babbar_ sza _igi-6(disz)-gal2 ku3-babbar zu2-lum dilmun-na_
A malformed reading before weeding	AbB-primary	8531	KU/MA	5. x x ni-su2-uq KU/MA x [...]
A malformed reading before weeding	AbB-primary	8936	1/3(disz)	8. _1/3(disz) ma-na ku3-babbar_
A malformed reading before weeding	AbB-primary	9198	1/3(disz)	9. _1/3(disz) ma-na 1(disz) gin2 ku3-babbar na4_ {d}utu
A malformed reading before weeding	AbB-primary	9499	2/3(disz)	4. _3(u) 2/3(disz) ma-na 8(disz) gin2 an-na-kam_
A malformed reading before weeding	AbB-primary	9555	1/3(disz)	1. _1/3(disz) ma-na 5(disz) gin2 ku3-babbar_
A malformed reading before weeding	AbB-primary	9882	ir/ni	25. u3 _a-sza3_ DISZ sza ta mi ir/ni ia a-di [u2-ul]
A malformed reading before weeding	AbB-primary	10085	1/2(disz)	6. _1/2(disz) gin2 1(u) sze ku3-babbar na4_ {d}utu usz-ta-bi-la#-[kum]
A malformed reading before weeding	AbB-primary	10579	1/2(disz)	3. _2(disz) 1/2(disz) ma-na 1(disz) 1/2(disz) gin2 ku3-babbar_
A malformed reading before weeding	AbB-primary	11481	1/3(disz)	6'. [u3 _1/3(disz)] ma#-na ku3-babbar_ a-na _sa10 sag-geme2_ szu-a-ti
A malformed reading before weeding	AbB-primary	11488	1/3(disz)	4. _1/3(disz) ma-na ku3-babbar_ szu-um-hi-ir-szu-ma
A malformed reading before weeding	AbB-primary	11695	1/2(disz)	10. asz-szum _1/2(disz) gin2 ku3-babbar_
A malformed reading before weeding	AbB-primary	11880	2/3(disz)	18. sza ma-ah-ri-ku-nu _2(disz) 2/3(disz) ma-na_
A malformed reading before weeding	AbB-primary	12664	1/2(disz)	8. _1/2(disz) gin2 ku3-babbar_ ar-du-um _dumu_ dingir-x-x-x
